SalesID,Date,CustomerID,ProductID,StoreID,Quantity,TotalRevenue,TotalCost
480,2024-12-28,CU037,C020,S001,12,55.20,22.20
481,2024-12-31,CU038,C007,S002,10,46.00,18.50
482,2025-01-05,CU041,C011,S001,8,33.60,12.80
483,2025-01-15,CU046,C021,S001,10,47.00,19.00
484,2025-02-10,CU042,C025,S003,12,58.80,24.00
485,2025-02-20,CU047,C020,S003,15,69.00,27.75
486,2025-03-05,CU043,C007,S001,10,46.00,18.50
487,2025-03-18,CU048,C011,S002,12,50.40,19.20
488,2025-04-05,CU044,C021,S002,8,37.60,15.20
489,2025-04-15,CU049,C025,S001,10,49.00,20.00
490,2025-04-28,CU050,C020,S002,12,55.20,22.20
491,2024-11-15,CU040,C015,S001,3,11.10,3.90
492,2024-11-28,CU039,C006,S002,4,18.80,7.60
493,2024-12-05,CU048,C012,S002,5,19.50,7.25
494,2024-12-12,CU047,C008,S003,6,26.40,10.20
495,2024-12-18,CU035,C021,S001,3,14.10,5.70
496,2024-12-22,CU027,C029,S003,2,8.20,3.10
497,2024-12-25,CU016,C018,S002,10,35.00,11.00
498,2024-12-28,CU043,C005,S001,4,18.00,7.20
499,2024-12-30,CU031,C025,S003,3,14.70,6.00
500,2025-01-01,CU021,C020,S001,5,23.00,9.25
